id,name,light_years_from_earth,planet_mass,stellar_magnitude,discovery_date
335,BD-13 2130 b,3018,9.78 Jupiters,10.038,2007
336,BD+14 4559 b,161,1.04 Jupiters,9.78,2009
337,BD+15 2375 b,2505,1.061 Jupiters,10.41,2016
338,BD+15 2940 b,1391,1.11 Jupiters,9.01,2013
339,BD-17 63 b,112,5.1 Jupiters,9.62,2008
340,BD+20 2457 b,5023,21.42 Jupiters,9.743,2009
341,BD+20 2457 c,5023,12.47 Jupiters,9.743,2009
342,BD+20 274 b,4314,4.2 Jupiters,9.367,2012
343,BD+20 594 b,585,22.2481 Earths,10.849,2016
344,BD-210397 b,77,0.7 Jupiters,9.84,2023
345,BD-210397 c,77,2.4 Jupiters,9.84,2023
346,BD+45 564 b,175,1.36 Jupiters,9.67,2021
347,BD+48 738 b,2843,0.91 Jupiters,9.139,2011
348,BD+48 740 b,2174,1.7 Jupiters,8.69,2018
349,BD+49 828 b,1442,1.6 Jupiters,9.381,2015
350,b Centauri AB b,320,10.9 Jupiters,4.01,2021
351,BD-00 4475 b,139,25.05 Jupiters,9.01,2021
352,BD+03 2562 b,3492,6.4 Jupiters,9.577,2017
353,BD-06 1339 b,66,8.5 Earths,9.7,2013
354,BD-06 1339 c,66,0.17 Jupiters,9.7,2013
355,BD-08 2823 b,135,12.7132 Earths,9.86,2009
356,BD-08 2823 c,135,0.33 Jupiters,9.86,2009
357,BD-10 3166 b,275,0.59 Jupiters,10.013,2000
358,BD-11 4672 b,89,0.65 Jupiters,10.03,2014
359,BD-11 4672 c,89,15.37 Earths,10.03,2020
360,BD-13 2130 b,3018,9.78 Jupiters,10.038,2007
361,BD+14 4559 b,161,1.04 Jupiters,9.78,2009
362,BD+15 2375 b,2505,1.061 Jupiters,10.41,2016
363,BD+15 2940 b,1391,1.11 Jupiters,9.01,2013
364,BD-17 63 b,112,5.1 Jupiters,9.62,2008
365,BD+20 2457 b,5023,21.42 Jupiters,9.743,2009
366,BD+20 2457 c,5023,12.47 Jupiters,9.743,2009
367,BD+20 274 b,4314,4.2 Jupiters,9.367,2012
368,BD+20 594 b,585,22.2481 Earths,10.849,2016
369,BD-210397 b,77,0.7 Jupiters,9.84,2023
370,BD-210397 c,77,2.4 Jupiters,9.84,2023
371,BD+45 564 b,175,1.36 Jupiters,9.67,2021
372,BD+48 738 b,2843,0.91 Jupiters,9.139,2011
373,BD+48 740 b,2174,1.7 Jupiters,8.69,2018
374,BD+49 828 b,1442,1.6 Jupiters,9.381,2015
375,b Centauri AB b,320,10.9 Jupiters,4.01,2021
376,BD-00 4475 b,139,25.05 Jupiters,9.01,2021
377,BD+03 2562 b,3492,6.4 Jupiters,9.577,2017
378,BD-06 1339 b,66,8.5 Earths,9.7,2013
379,BD-06 1339 c,66,0.17 Jupiters,9.7,2013
380,BD-08 2823 b,135,12.7132 Earths,9.86,2009
381,BD-08 2823 c,135,0.33 Jupiters,9.86,2009
382,BD-10 3166 b,275,0.59 Jupiters,10.013,2000
383,BD-11 4672 b,89,0.65 Jupiters,10.03,2014
384,BD-11 4672 c,89,15.37 Earths,10.03,2020
385,BD-13 2130 b,3018,9.78 Jupiters,10.038,2007
386,BD+14 4559 b,161,1.04 Jupiters,9.78,2009
387,BD+15 2375 b,2505,1.061 Jupiters,10.41,2016
388,BD+15 2940 b,1391,1.11 Jupiters,9.01,2013
389,BD-17 63 b,112,5.1 Jupiters,9.62,2008
390,BD+20 2457 b,5023,21.42 Jupiters,9.743,2009
391,BD+20 2457 c,5023,12.47 Jupiters,9.743,2009
392,BD+20 274 b,4314,4.2 Jupiters,9.367,2012
393,BD+20 594 b,585,22.2481 Earths,10.849,2016
394,BD-210397 b,77,0.7 Jupiters,9.84,2023
395,BD-210397 c,77,2.4 Jupiters,9.84,2023
396,BD+45 564 b,175,1.36 Jupiters,9.67,2021
397,BD+48 738 b,2843,0.91 Jupiters,9.139,2011
398,BD+48 740 b,2174,1.7 Jupiters,8.69,2018
399,BD+49 828 b,1442,1.6 Jupiters,9.381,2015
400,b Centauri AB b,320,10.9 Jupiters,4.01,2021
401,BD-00 4475 b,139,25.05 Jupiters,9.01,2021
402,BD+03 2562 b,3492,6.4 Jupiters,9.577,2017
403,BD-06 1339 b,66,8.5 Earths,9.7,2013
404,BD-06 1339 c,66,0.17 Jupiters,9.7,2013
405,BD-08 2823 b,135,12.7132 Earths,9.86,2009
406,BD-08 2823 c,135,0.33 Jupiters,9.86,2009
407,BD-10 3166 b,275,0.59 Jupiters,10.013,2000
408,BD-11 4672 b,89,0.65 Jupiters,10.03,2014
409,BD-11 4672 c,89,15.37 Earths,10.03,2020
410,BD-13 2130 b,3018,9.78 Jupiters,10.038,2007
411,BD+14 4559 b,161,1.04 Jupiters,9.78,2009
412,BD+15 2375 b,2505,1.061 Jupiters,10.41,2016
413,BD+15 2940 b,1391,1.11 Jupiters,9.01,2013
414,BD-17 63 b,112,5.1 Jupiters,9.62,2008
